Summary Data For Gas Supply - Import Countrywise Having Year : ALL
.
YearValue,Country,GasType,Qty_Tonne,PriceRsPerKg
2016,UAE,LIQUIFIED NATURAL GAS (LNG),113397.380,26.421
2007,UAE,LIQUIFIED NATURAL GAS (LNG),111786.000,20.064
2007,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),106176.000,21.248
2009,BERMUDA,LIQUIFIED NATURAL GAS (LNG),104819.000,29.815
2020,RUSSIA,LIQUIFIED NATURAL GAS (LNG),102350.750,24.631
2016,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),101694.000,25.159
2016,NORWAY,LIQUIFIED NATURAL GAS (LNG),101272.000,26.675
2009,UAE,LIQUIFIED NATURAL GAS (LNG),95833.000,38.366
2015,UAE,LIQUIFIED NATURAL GAS (LNG),79058.600,32.917
2015,OMAN,LIQUIFIED NATURAL GAS (LNG),74361.990,46.376
2016,PAPUA N GNA,LIQUIFIED NATURAL GAS (LNG),74208.000,24.991
2009,SAUDI ARABIA,LIQUIFIED NATURAL GAS (LNG),72124.000,28.912
2012,INDONESIA,LIQUIFIED NATURAL GAS (LNG),71865.000,18.585
2018,INDONESIA,LIQUIFIED NATURAL GAS (LNG),69322.000,19.940
2020,NORWAY,LIQUIFIED NATURAL GAS (LNG),68894.550,19.782
2017,INDONESIA,LIQUIFIED NATURAL GAS (LNG),68607.290,35.152
2011,UK,LIQUIFIED NATURAL GAS (LNG),68150.000,24.228
2015,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),68140.950,42.092
2011,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),68000.000,21.614
2019,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),67785.670,30.660
2017,BRAZIL,LIQUIFIED NATURAL GAS (LNG),66542.660,25.792
2009,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),66372.700,40.218
2017,UK,LIQUIFIED NATURAL GAS (LNG),66300.440,32.769
2010,OMAN,LIQUIFIED NATURAL GAS (LNG),65910.000,26.382
2019,SINGAPORE,LIQUIFIED NATURAL GAS (LNG),65837.670,30.523
2015,NORWAY,LIQUIFIED NATURAL GAS (LNG),65704.090,39.408
2018,SPAIN,LIQUIFIED NATURAL GAS (LNG),65186.620,23.534
2018,TRINIDAD,LIQUIFIED NATURAL GAS (LNG),65129.680,21.120
2018,RUSSIA,LIQUIFIED NATURAL GAS (LNG),65000.000,32.098
2014,NORWAY,LIQUIFIED NATURAL GAS (LNG),64847.780,46.186
2017,PERU,LIQUIFIED NATURAL GAS (LNG),64827.050,21.008
2007,NIGERIA,LIQUIFIED NATURAL GAS (LNG),64458.230,21.588
2019,EGYPT,LIQUIFIED NATURAL GAS (LNG),64000.000,38.263
2009,AUSTRIA,LIQUIFIED NATURAL GAS (LNG),63880.000,22.786
2015,GUINEA,LIQUIFIED NATURAL GAS (LNG),63154.240,33.615
2009,NORWAY,LIQUIFIED NATURAL GAS (LNG),62902.000,42.980
2019,BELGIUM,LIQUIFIED NATURAL GAS (LNG),62564.930,41.087
2010,INDONESIA,LIQUIFIED NATURAL GAS (LNG),62367.000,11.469
2011,PAKISTAN IR,LIQUIFIED NATURAL GAS (LNG),62064.000,11.802
2008,EGYPT,LIQUIFIED NATURAL GAS (LNG),61760.000,29.057
2014,BRUNEI,LIQUIFIED NATURAL GAS (LNG),61712.110,43.721
2007,FRANCE,LIQUIFIED NATURAL GAS (LNG),61520.000,19.702
2019,SWITZERLAND,LIQUIFIED NATURAL GAS (LNG),61487.250,37.397
2013,FRANCE,LIQUIFIED NATURAL GAS (LNG),61040.390,40.962
2012,JAPAN,LIQUIFIED NATURAL GAS (LNG),60437.000,37.227
2010,UAE,LIQUIFIED NATURAL GAS (LNG),60312.000,9.809
2008,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),60039.000,30.097
2011,NORWAY,LIQUIFIED NATURAL GAS (LNG),60000.000,25.009
2018,NIGER,LIQUIFIED NATURAL GAS (LNG),60000.000,21.108
2017,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),59523.130,20.659
2008,GUINEA,LIQUIFIED NATURAL GAS (LNG),59326.000,34.125
2009,ITALY,LIQUIFIED NATURAL GAS (LNG),59310.000,50.092
2009,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),58600.000,31.327
2017,PORTUGAL,LIQUIFIED NATURAL GAS (LNG),58463.000,22.149
2009,GUINEA,LIQUIFIED NATURAL GAS (LNG),57404.000,30.611
2006,OMAN,LIQUIFIED NATURAL GAS (LNG),57391.000,11.803
2012,MALAYSIA,LIQUIFIED NATURAL GAS (LNG),56008.970,39.634
2011,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),55497.000,20.247
2017,ALGERIA,LIQUIFIED NATURAL GAS (LNG),55000.000,21.420
2015,KOREA RP,LIQUIFIED NATURAL GAS (LNG),52950.000,51.328
2012,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),52640.000,28.588
2010,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),49688.000,12.600
2012,UAE,LIQUIFIED NATURAL GAS (LNG),46560.000,28.403
2012,AUSTRALIA,LIQUIFIED NATURAL GAS (LNG),40534.000,25.667
2016,PERU,LIQUIFIED NATURAL GAS (LNG),33700.000,44.126
2017,NORWAY,LIQUIFIED NATURAL GAS (LNG),31594.160,23.892
2015,FRANCE,LIQUIFIED NATURAL GAS (LNG),6888.210,40.398
2005,BAHARAIN IS,LIQUIFIED NATURAL GAS (LNG),6534.000,16.728
2016,UNSPECIFIED,LIQUIFIED NATURAL GAS (LNG),35.000,44.714
2016,UK,LIQUIFIED NATURAL GAS (LNG),0.140,3578.571
2020,CHINA P R,LIQUIFIED NATURAL GAS (LNG),0.120,66.667
2019,GERMANY,LIQUIFIED NATURAL GAS (LNG),0.040,1400.000
2020,BELGIUM,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,GERMANY,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,NETHERLAND,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,SINGAPORE,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,SOUTH AFRICA,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,SWITZERLAND,LIQUIFIED NATURAL GAS (LNG),0.000,
2020,UK,LIQUIFIED NATURAL GAS (LNG),0.000,
